house,state,work_type,work_id,ida,mp,constituency,district,fy,exp_date_str,vendor,pay_status,amount
LOK_SABHA,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18167/2025-2026/207619,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),BRIJENDRA SINGH OLA (2024-2029),Neem Ka Thana,Neem Ka Thana,2025-2026,04-Mar-2026,Sukh Ram,Payment Success,3705.0
LOK_SABHA,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18167/2025-2026/207619,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),BRIJENDRA SINGH OLA (2024-2029),Neem Ka Thana,Neem Ka Thana,2025-2026,04-Mar-2026,Ashok Kumar,Payment Success,9000.0
LOK_SABHA,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18167/2025-2026/207619,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),BRIJENDRA SINGH OLA (2024-2029),Neem Ka Thana,Neem Ka Thana,2025-2026,04-Mar-2026,Satveer Singh,Payment Success,3705.0
LOK_SABHA,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18167/2025-2026/207619,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),BRIJENDRA SINGH OLA (2024-2029),Neem Ka Thana,Neem Ka Thana,2025-2026,04-Mar-2026,Umendar Kumar Meena,Payment Success,9000.0
LOK_SABHA,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18167/2025-2026/207619,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),BRIJENDRA SINGH OLA (2024-2029),Neem Ka Thana,Neem Ka Thana,2025-2026,04-Mar-2026,Pinki,Payment Success,3705.0
LOK_SABHA,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18167/2025-2026/207619,Neem Ka Thana(DISTRICT COLLECTOR Neem Ka Thana_IDA),BRIJENDRA SINGH OLA (2024-2029),Neem Ka Thana,Neem Ka Thana,2025-2026,04-Mar-2026,Kamali,Payment Success,3705.0
LOK_SABHA,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP323/2025-2026/242522,JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA),Rajeshbhai Naranbhai Chudasama (2024-2029),JUNAGADH,JUNAGADH,2025-2026,06-Mar-2026,GRAM PANCHAYAT CHOKLI,Payment Success,299715.0
LOK_SABHA,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/ MP578/2025-2026/241929,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),Mansukhbhai Dhanjibhai Vasava (2024-2029),VADODARA,VADODARA,2025-2026,25-Feb-2026,Gosindra  Gram Panchayat,Payment Success,100000.0
LOK_SABHA,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18351/2025-2026/162047,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI (2024-2029),Nandyal,Nandyal,2025-2026,26-Feb-2026,Yenakandla Chinna Ramanjaneyulu,Payment Success,499594.0
LOK_SABHA,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18351/2025-2026/162048,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),DR BYREDDY SHABARI (2024-2029),Nandyal,Nandyal,2025-2026,26-Feb-2026,Yenakandla Chinna Ramanjaneyulu,Payment Success,482574.0
LOK_SABHA,Andhra Pradesh,Construction of community centers and community halls,WS/MP18005/2025-2026/213081,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Krishna Prasad Tenneti (2024-2029),Bapatla,Bapatla,2025-2026,23-Jun-2026,Seetha Remi Reddy,Payment Success,1487830.0
LOK_SABHA,Andhra Pradesh,Construction of community centers and community halls,WS/MP18005/2025-2026/213081,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Krishna Prasad Tenneti (2024-2029),Bapatla,Bapatla,2025-2026,27-Feb-2026,Seetha Remi Reddy,Payment Success,1436346.0
LOK_SABHA,Haryana,Construction of rooms and halls in school and colleges,WS/MP18060/2025-2026/205024,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),VARUN CHAUDHRY (2024-2029),AMBALA,AMBALA,2025-2026,26-Jun-2026,Randeep Singh Sandhu,Payment Success,32760.0
LOK_SABHA,Haryana,Construction of rooms and halls in school and colleges,WS/MP18060/2025-2026/205024,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),VARUN CHAUDHRY (2024-2029),AMBALA,AMBALA,2025-2026,26-Jun-2026,Randeep Singh Sandhu,Payment Success,12757.0
LOK_SABHA,Haryana,Construction of toilet blocks,WS/MP18060/2025-2026/212185,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),VARUN CHAUDHRY (2024-2029),AMBALA,AMBALA,2025-2026,02-Mar-2026,Randeep Singh Sandhu,Payment Success,39312.0
LOK_SABHA,Haryana,Construction of rooms and halls in school and colleges,WS/MP18060/2025-2026/205024,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),VARUN CHAUDHRY (2024-2029),AMBALA,AMBALA,2025-2026,31-Mar-2026,Randeep Singh Sandhu,Payment Success,72450.0
LOK_SABHA,Haryana,Construction of toilet blocks,WS/MP18060/2025-2026/212185,AMBALA(DEPUTY COMMISSIONER AMBALA_IDA),VARUN CHAUDHRY (2024-2029),AMBALA,AMBALA,2025-2026,02-Mar-2026,Goel Marble,Payment Success,38916.0
